position,percent_methylation,methylated,unmethylated
8,0,0,21
14,0,0,6
33,0,0,2
42,38.7571722091165,127327,201198
46,37.4700130298713,123080,205396
93,40.2850166833094,132325,196147
102,42.0361552887309,138077,190395
111,41.1407260826547,135137,193338
123,41.7692071119069,137173,191234
129,41.2836829765856,135588,192842
132,0,0,20
147,41.839867990436,136667,189976
152,37.5298880307228,122743,204311
155,0,0,9
173,39.5151004766002,129506,198232
177,34.4568512453348,113096,215129
180,0,0,54
187,35.932293464218,117647,209766
198,44.5913578742077,146331,181829
203,38.4765625,126080,201600
244,41.4125509223234,135711,191994
249,40.1983809866587,131792,196062
257,41.7048164990517,136557,190880
259,0,0,6
274,40.2303582537417,131925,195999
276,38.8766127090464,127553,200544
282,0,0,34
